season,position,points
2018,17,0
2018,18,0
2018,19,0
2018,20,0
2019,1,26
2019,2,18
2019,3,15
2019,4,12
2019,5,10
2019,6,8
2019,7,6
2019,8,4
2019,9,2
2019,10,1
2019,11,0
2019,12,0
2019,13,0
2019,14,0
2019,15,0
2019,16,0
2019,17,0
2019,18,0
2019,19,0
2019,20,0
2020,1,25
2020,2,18
2020,3,16
2020,4,12
2020,5,10
2020,6,8
2020,7,6
2020,8,4
2020,9,2
2020,10,1
2020,11,0
2020,12,0
2020,13,0
2020,14,0
2020,15,0
2020,16,0
2020,17,0
2020,18,0
2020,19,0
2020,20,0
2021,1,25
2021,2,18
2021,3,16
2021,4,12
2021,5,10
2021,6,8
2021,7,6
2021,8,4
2021,9,2
2021,10,1
2021,11,0
2021,12,0
2021,13,0
2021,14,0
2021,15,0
2021,16,0
2021,17,0
2021,18,0
2021,19,0
2021,20,0
2022,1,26
2022,2,18
2022,3,15
2022,4,12
2022,5,10
2022,6,8
2022,7,6
2022,8,4
2022,9,2
2022,10,1
2022,11,0
2022,12,0
2022,13,0
2022,14,0
2022,15,0
2022,16,0
2022,17,0
2022,18,0
2022,19,0
2022,20,0
2023,1,25
2023,2,18
2023,3,15
2023,4,12
2023,5,10
2023,6,8
2023,7,6
2023,8,4
2023,9,2
2023,10,1
2023,11,0
2023,12,0
2023,13,0
2023,14,0
2023,15,0
2023,16,0
2023,17,0
2023,18,0
2023,19,0
2023,20,0
2024,1,26
2024,2,18
2024,3,15
2024,4,12
2024,5,10
2024,6,8
2024,7,6
2024,8,4
2024,9,2
2024,10,1
2024,11,0
2024,12,0
2024,13,0
2024,14,0
2024,15,0
2024,16,0
2024,17,0
2024,18,0
2024,19,0
2024,20,0
